,bin,OCURRED,LAG
687,647,11/07/21,0
688,648,11/07/21,0
689,649,11/06/21,0
690,650,11/06/21,0
691,651,11/06/21,0
692,652,11/06/21,0
693,653,11/06/21,0
694,652,11/06/21,0
695,111,11/06/21,0
696,654,11/06/21,0
697,655,11/05/21,0
698,656,11/05/21,0
699,657,11/04/21,0
700,658,11/04/21,0
701,659,11/03/21,0
702,660,11/03/21,0
703,661,11/03/21,0
704,662,11/03/21,0
705,663,11/02/21,0
706,664,11/02/21,0
707,665,11/01/21,0
708,666,10/31/21,0
709,667,10/31/21,0
710,668,10/30/21,0
711,669,10/30/21,0
712,670,10/30/21,0
713,671,10/29/21,0
714,672,10/28/21,0
715,673,10/28/21,0
716,674,10/28/21,0
717,675,10/27/21,0
718,676,10/27/21,0
719,677,10/27/21,0
720,678,10/26/21,0
721,281,10/26/21,0
722,679,10/25/21,0
723,680,10/25/21,0
724,681,10/25/21,0
725,682,10/24/21,0
726,683,10/24/21,0
727,684,10/24/21,0
728,685,10/23/21,0
729,422,10/23/21,0
730,489,10/22/21,0
731,42,10/22/21,0
732,686,10/22/21,0
733,687,10/21/21,0
734,688,10/20/21,0
735,689,10/20/21,0
736,690,10/20/21,0
737,691,10/20/21,0
738,692,10/19/21,0
739,693,10/19/21,0
740,694,10/19/21,0
741,695,10/19/21,0
742,696,10/18/21,0
743,697,10/18/21,0
744,698,10/18/21,0
745,699,10/17/21,0
746,700,10/17/21,0
747,113,10/17/21,0
748,458,10/17/21,0
749,701,10/16/21,0
750,702,10/16/21,0
751,703,10/16/21,0
752,704,10/15/21,0
753,705,10/14/21,0
754,706,10/14/21,0
755,707,10/14/21,0
756,708,10/13/21,0
757,709,10/13/21,0
758,710,10/13/21,0
759,711,10/13/21,0
760,712,10/13/21,0
761,713,10/13/21,0
762,714,10/13/21,0
763,715,10/13/21,0
764,716,10/12/21,0
765,717,10/12/21,0
766,718,10/12/21,0
767,719,10/11/21,0
768,720,10/11/21,0
769,721,10/10/21,0
770,722,10/10/21,0
771,723,10/10/21,0
772,724,10/10/21,0
773,725,10/09/21,0
774,726,10/09/21,0
775,727,10/09/21,0
776,728,10/09/21,0
777,729,10/09/21,0
778,730,10/09/21,0
779,731,10/09/21,0
780,731,10/09/21,0
781,732,10/08/21,0
782,733,10/08/21,0
783,734,10/08/21,0
784,735,10/08/21,0
785,736,10/08/21,0
786,737,10/08/21,0
787,738,10/08/21,0
788,739,10/08/21,0
789,740,10/07/21,0
790,670,10/07/21,0
791,741,10/06/21,0
792,742,10/06/21,0
793,743,10/06/21,0
794,744,10/06/21,0
795,745,10/05/21,0
796,746,10/05/21,0
797,747,10/05/21,0
798,748,10/05/21,0
799,749,10/05/21,0
800,750,10/04/21,0
801,751,10/04/21,0
802,752,10/04/21,0
803,753,10/04/21,0
804,754,10/04/21,0
805,755,10/04/21,0
806,756,10/04/21,0
807,757,10/03/21,0
808,758,10/03/21,0
809,316,10/03/21,0
810,759,10/03/21,0
811,760,10/02/21,0
812,511,10/02/21,0
813,761,10/01/21,0
814,762,10/01/21,0
815,763,09/30/21,0
816,764,09/30/21,0
817,765,09/29/21,0
818,106,09/29/21,0
819,726,09/29/21,0
820,766,09/28/21,0
821,767,09/28/21,0
822,768,09/28/21,0
823,467,09/28/21,0
824,769,09/27/21,0
825,770,09/27/21,0
826,771,09/27/21,0
827,772,09/27/21,0
828,773,09/25/21,0
829,774,09/25/21,0
830,775,09/25/21,0
831,776,09/25/21,0
832,777,09/24/21,0
833,778,09/23/21,0
834,779,09/23/21,0
835,780,09/23/21,0
836,781,09/23/21,0
837,517,09/23/21,0
838,782,09/23/21,0
839,783,09/22/21,0
840,784,09/22/21,0
841,785,09/22/21,0
842,786,09/21/21,0
843,253,09/21/21,0
844,253,09/21/21,0
845,786,09/21/21,0
846,787,09/20/21,0
847,788,09/20/21,0
848,789,09/19/21,0
849,790,09/18/21,0
850,791,09/18/21,0
851,792,09/18/21,0
852,793,09/18/21,0
853,794,09/18/21,0
854,795,09/18/21,0
855,796,09/18/21,0
856,516,09/17/21,0
857,797,09/17/21,0
858,48,09/16/21,0
859,798,09/16/21,0
860,799,09/16/21,0
861,800,09/16/21,0
862,801,09/16/21,0
863,802,09/15/21,0
864,803,09/15/21,0
865,804,09/15/21,0
866,805,09/14/21,0
867,806,09/14/21,0
868,807,09/13/21,0
869,808,09/13/21,0
870,809,09/13/21,0
871,810,09/12/21,0
872,811,09/11/21,0
873,812,09/11/21,0
874,813,09/11/21,0
875,814,09/11/21,0
876,815,09/10/21,0
877,816,09/10/21,0
878,697,09/10/21,0
879,817,09/10/21,0
880,818,09/10/21,0
881,819,09/09/21,0
882,820,09/09/21,0
883,821,09/09/21,0
884,822,09/09/21,0
885,823,09/08/21,0
886,824,09/07/21,0
887,672,09/07/21,0
888,825,09/07/21,0
889,826,09/07/21,0
890,827,09/07/21,0
891,828,09/07/21,0
892,829,09/07/21,0
893,830,09/06/21,0
894,831,09/06/21,0
895,832,09/05/21,0
896,833,09/04/21,0
897,834,09/04/21,0
898,835,09/03/21,0
899,836,09/03/21,0
900,837,09/03/21,0
901,838,09/03/21,0
902,839,09/03/21,0
903,840,09/03/21,0
904,841,09/03/21,0
905,330,09/03/21,0
906,842,09/02/21,0
907,843,09/01/21,0
908,844,09/01/21,0
909,845,09/01/21,0
910,846,09/01/21,0
911,847,08/31/21,0
912,848,08/31/21,0
913,766,08/31/21,0
914,849,08/30/21,0
915,850,08/30/21,0
916,851,08/30/21,0
917,852,08/30/21,0
918,853,08/30/21,0
919,854,08/29/21,0
920,855,08/29/21,0
921,689,08/29/21,0
922,689,08/29/21,0
923,119,08/29/21,0
924,856,08/29/21,0
925,857,08/29/21,0
926,858,08/28/21,0
927,700,08/28/21,0
928,859,08/27/21,0
929,860,08/27/21,0
930,861,08/27/21,0
931,862,08/27/21,0
932,863,08/27/21,0
933,864,08/27/21,0
934,865,08/26/21,0
935,866,08/26/21,0
936,867,08/26/21,0
937,868,08/26/21,0
938,869,08/25/21,0
939,870,08/25/21,0
940,871,08/25/21,0
941,872,08/25/21,0
942,873,08/25/21,0
943,874,08/25/21,0
944,875,08/25/21,0
945,876,08/24/21,0
946,877,08/24/21,0
947,878,08/24/21,0
948,879,08/24/21,0
949,160,08/23/21,0
950,880,08/23/21,0
951,881,08/22/21,0
952,882,08/22/21,0
953,883,08/21/21,0
954,884,08/21/21,0
955,885,08/20/21,0
956,886,08/20/21,0
957,887,08/19/21,0
958,888,08/19/21,0
959,889,08/18/21,0
960,890,08/18/21,0
961,891,08/18/21,0
962,892,08/18/21,0
963,893,08/18/21,0
964,894,08/18/21,0
965,895,08/18/21,0
966,479,08/17/21,0
967,896,08/16/21,0
968,897,08/16/21,0
969,898,08/16/21,0
970,899,08/15/21,0
971,900,08/15/21,0
972,901,08/15/21,0
973,902,08/15/21,0
974,903,08/14/21,0
975,904,08/14/21,0
976,905,08/14/21,0
977,906,08/14/21,0
978,907,08/13/21,0
979,908,08/13/21,0
980,188,08/13/21,0
981,909,08/12/21,0
982,910,08/12/21,0
983,911,08/11/21,0
984,912,08/11/21,0
985,857,08/11/21,0
986,913,08/11/21,0
987,914,08/11/21,0
988,915,08/11/21,0
989,916,08/10/21,0
990,917,08/10/21,0
991,918,08/10/21,0
992,919,08/09/21,0
993,234,08/09/21,0
994,920,08/09/21,0
995,921,08/08/21,0
996,922,08/08/21,0
997,923,08/08/21,0
998,924,08/08/21,0
999,925,08/07/21,0
1000,926,08/07/21,0
1001,927,08/06/21,0
1002,928,08/06/21,0
1003,929,08/06/21,0
1004,930,08/06/21,0
1005,931,08/05/21,0
1006,932,08/05/21,0
1007,933,08/05/21,0
1008,934,08/05/21,0
1009,935,08/04/21,0
1010,936,08/04/21,0
1011,937,08/04/21,0
1012,938,08/03/21,0
1013,939,08/03/21,0
1014,940,08/03/21,0
1015,941,08/02/21,0
1016,942,07/31/21,0
1017,943,07/31/21,0
1018,944,07/31/21,0
1019,945,07/30/21,0
1020,946,07/29/21,0
1021,947,07/28/21,0
1022,948,07/27/21,0
1023,949,07/27/21,0
1024,950,07/27/21,0
1025,951,07/27/21,0
1026,952,07/27/21,0
1027,755,07/27/21,0
1028,953,07/27/21,0
1029,954,07/26/21,0
1030,955,07/26/21,0
1031,956,07/26/21,0
1032,354,07/25/21,0
1033,957,07/25/21,0
1034,958,07/25/21,0
1035,959,07/24/21,0
1036,676,07/24/21,0
1037,960,07/23/21,0
1038,961,07/22/21,0
1039,894,07/22/21,0
1040,962,07/22/21,0
1041,409,07/20/21,0
1042,963,07/20/21,0
1043,964,07/20/21,0
1044,965,07/20/21,0
1045,966,07/20/21,0
1046,967,07/19/21,0
1047,968,07/19/21,0
1048,969,07/18/21,0
1049,970,07/18/21,0
1050,971,07/18/21,0
1051,513,07/17/21,0
1052,972,07/17/21,0
1053,973,07/17/21,0
1054,974,07/17/21,0
1055,975,07/16/21,0
1056,976,07/16/21,0
1057,977,07/16/21,0
1058,978,07/15/21,0
1059,979,07/15/21,0
1060,980,07/14/21,0
1061,901,07/14/21,0
1062,981,07/13/21,0
1063,719,07/13/21,0
1064,982,07/12/21,0
